N_TH,WEIGHT_SIZE,EPOCHS,GRID_ROWS,GRID_COLS,N_INPUTS,T_1,T_P,SPEEDUP,EFFICIENCY,COST
1,100,100,10,10,1000,1009.4578223228455,1009.4578223228455,1.0,1.0,1009.4578223228455
2,100,100,10,10,1000,1009.4578223228455,2482.0244886875153,0.4067074385944688,0.2033537192972344,4964.0489773750305
3,100,100,10,10,1000,1009.4578223228455,2424.0207629203796,0.4164394289703543,0.1388131429901181,7272.062288761139
4,100,100,10,10,1000,1009.4578223228455,2468.843574285507,0.40887880983508096,0.10221970245877024,9875.374297142029
1,100,10,10,10,100,9.905946969985962,9.905946969985962,1.0,1.0,9.905946969985962
2,100,10,10,10,100,9.905946969985962,23.521050930023193,0.4211523966108854,0.2105761983054427,47.04210186004639
3,100,10,10,10,100,9.905946969985962,22.550050020217896,0.4392871395453447,0.1464290465151149,67.65015006065369
4,100,10,10,10,100,9.905946969985962,22.038280248641968,0.44948820226552755,0.11237205056638189,88.15312099456787
1,10,10,10,10,1000,97.85028576850891,97.85028576850891,1.0,1.0,97.85028576850891
2,10,10,10,10,1000,97.85028576850891,246.2781355381012,0.39731617081927556,0.19865808540963778,492.5562710762024
3,10,10,10,10,1000,97.85028576850891,245.86408376693726,0.3979852781639487,0.1326617593879829,737.5922513008118
4,10,10,10,10,1000,97.85028576850891,240.9073462486267,0.40617393903597787,0.10154348475899447,963.6293849945068
